record_no,evidence_status,workflow,run_id,run_number,run_attempt,event,status,conclusion,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,first_actual_error,error_source,run_url,job_coordinate
23,VERIFIED_TRUE,Gatekeeper,30218752891,128,1,push,completed,failure,2026-07-26T20:20:14Z,2026-07-26T20:20:25Z,agent/open-source-upload-evidence-20260727,aa6a6a31f72fc98b9cd2484e60daff60e013fece,ky46738-ops,89837351959,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218752891,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218752891/job/89837351959
24,VERIFIED_TRUE,Gatekeeper,30218753682,129,1,pull_request,completed,failure,2026-07-26T20:20:15Z,2026-07-26T20:20:28Z,agent/open-source-upload-evidence-20260727,aa6a6a31f72fc98b9cd2484e60daff60e013fece,ky46738-ops,89837353953,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218753682,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218753682/job/89837353953
25,VERIFIED_TRUE,PR #6,30218753064,91,1,dynamic,completed,success,2026-07-26T20:20:15Z,2026-07-26T20:21:16Z,refs/pull/6/head,aa6a6a31f72fc98b9cd2484e60daff60e013fece,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218753064,
26,VERIFIED_TRUE,PR #6,30218754499,92,1,dynamic,completed,success,2026-07-26T20:20:17Z,2026-07-26T20:21:15Z,refs/pull/6/head,0d52e5dedbb824848342093232cda674d33de855,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218754499,
27,VERIFIED_TRUE,Gatekeeper,30218754444,130,1,push,completed,failure,2026-07-26T20:20:17Z,2026-07-26T20:20:28Z,agent/open-source-upload-evidence-20260727,0d52e5dedbb824848342093232cda674d33de855,ky46738-ops,89837355999,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218754444,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218754444/job/89837355999
28,VERIFIED_TRUE,Python Package using Conda,30218754423,109,1,push,completed,failure,2026-07-26T20:20:17Z,2026-07-26T20:20:40Z,agent/open-source-upload-evidence-20260727,0d52e5dedbb824848342093232cda674d33de855,ky46738-ops,89837355837,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218754423,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218754423/job/89837355837
29,VERIFIED_TRUE,Gatekeeper,30218755234,131,1,push,completed,failure,2026-07-26T20:20:18Z,2026-07-26T20:20:30Z,agent/open-source-upload-evidence-20260727,b29bc1da610940f27dec3e86d620fcdbb244fe16,ky46738-ops,89837358572,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218755234,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218755234/job/89837358572
30,VERIFIED_TRUE,Python Package using Conda,30218755232,110,1,push,completed,failure,2026-07-26T20:20:18Z,2026-07-26T20:20:55Z,agent/open-source-upload-evidence-20260727,b29bc1da610940f27dec3e86d620fcdbb244fe16,ky46738-ops,89837358530,build-linux,5,Install dependencies,EnvironmentFileNotFound: /home/runner/work/welcome/welcome/environment.yml file not found,SAME_UNCHANGED_WORKFLOW_ROOT_AND_FAILED_STEP,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218755232,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218755232/job/89837358530
31,VERIFIED_TRUE,PR #6,30218755895,93,1,dynamic,completed,success,2026-07-26T20:20:19Z,2026-07-26T20:21:16Z,refs/pull/6/head,b29bc1da610940f27dec3e86d620fcdbb244fe16,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218755895,
32,VERIFIED_TRUE,PR #6,30218756705,94,1,dynamic,completed,success,2026-07-26T20:20:20Z,2026-07-26T20:21:14Z,refs/pull/6/head,4b758ef9e7a9a73a451698ae2264508dc36575d8,ky46738-ops,,,,,,RUN_METADATA,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218756705,
33,VERIFIED_TRUE,Gatekeeper,30218756281,132,1,push,completed,failure,2026-07-26T20:20:20Z,2026-07-26T20:20:27Z,agent/open-source-upload-evidence-20260727,4b758ef9e7a9a73a451698ae2264508dc36575d8,ky46738-ops,89837361407,verify,3,驗證 LKMini 公開種子,FAIL: 雜湊不一致：tools/verify_lkmini.py,LOCAL_GIT_TREE_REPLAY_CURRENT_EVIDENCE_BRANCH,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218756281,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30218756281/job/89837361407
