record_no,evidence_status,root_identity,workflow,run_id,run_number,run_attempt,event,created_at_utc,updated_at_utc,head_branch,head_sha,actor,job_id,job_name,failed_step_number,failed_step_name,error_time_utc,first_actual_error,run_url,job_coordinate,log_status
225,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106558680,107,1,push,2026-07-24T15:44:11Z,2026-07-24T15:44:21Z,main,680c53b1a8ee0e432a1cf4932d45137fbc819f38,ky46738-ops,89525289653,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:11Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106558680,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106558680/job/89525289653,AVAILABLE|LOCAL_GIT_TREE_REPLAY
226,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106559825,92,1,push,2026-07-24T15:44:12Z,2026-07-24T15:45:01Z,main,28c5def5f64c431c4cf396a1cfc3dc9ec07029ba,ky46738-ops,89525292897,build-linux,5,Install dependencies,2026-07-24T15:44:57.4048686Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106559825,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106559825/job/89525292897,AVAILABLE
227,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106559799,108,1,push,2026-07-24T15:44:12Z,2026-07-24T15:44:22Z,main,28c5def5f64c431c4cf396a1cfc3dc9ec07029ba,ky46738-ops,89525292523,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:12Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106559799,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106559799/job/89525292523,AVAILABLE|LOCAL_GIT_TREE_REPLAY
228,VERIFIED_TRUE,RC-03_PORTAL_PROJECTION_HASH_DRIFT,Deploy verified welcome site to GitHub Pages,30106560914,57,1,push,2026-07-24T15:44:13Z,2026-07-24T15:44:28Z,main,2c1da2844072443c266fb4503451a0e6e7028e76,ky46738-ops,89525301934,deploy,3,暴力驗證正式投影,2026-07-24T15:44:25.1830610Z,VERIFICATION=ERROR: 雜湊不一致：mini/index.html,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560914,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560914/job/89525301934,AVAILABLE
229,VERIFIED_PARTIAL_LOG_UNAVAILABLE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106560865,109,1,push,2026-07-24T15:44:13Z,2026-07-24T15:44:21Z,main,2c1da2844072443c266fb4503451a0e6e7028e76,ky46738-ops,89525296485,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:13Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560865,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560865/job/89525296485,VERIFIED_FALSE_API_ERROR|LOCAL_GIT_TREE_REPLAY
230,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106560862,93,1,push,2026-07-24T15:44:13Z,2026-07-24T15:45:02Z,main,2c1da2844072443c266fb4503451a0e6e7028e76,ky46738-ops,89525296578,build-linux,5,Install dependencies,2026-07-24T15:44:58.6598542Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560862,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106560862/job/89525296578,AVAILABLE
231,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30106602393,110,1,push,2026-07-24T15:44:50Z,2026-07-24T15:45:00Z,main,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89525439217,verify,3,驗證 LKMini 公開種子,2026-07-24T15:44:50Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106602393,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106602393/job/89525439217,AVAILABLE|LOCAL_GIT_TREE_REPLAY
232,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30106602340,94,1,push,2026-07-24T15:44:50Z,2026-07-24T15:45:31Z,main,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89525439165,build-linux,5,Install dependencies,2026-07-24T15:45:26.8683311Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106602340,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30106602340/job/89525439165,AVAILABLE
233,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30107892019,95,1,push,2026-07-24T16:05:20Z,2026-07-24T16:05:52Z,codex/org-company-alignment,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89529731818,build-linux,5,Install dependencies,2026-07-24T16:05:47.1948154Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30107892019,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30107892019/job/89529731818,AVAILABLE
234,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30107891961,111,1,push,2026-07-24T16:05:20Z,2026-07-24T16:05:41Z,codex/org-company-alignment,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89529731458,verify,3,驗證 LKMini 公開種子,2026-07-24T16:05:20Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30107891961,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30107891961/job/89529731458,AVAILABLE|LOCAL_GIT_TREE_REPLAY
235,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30217165320,112,1,push,2026-07-26T19:35:20Z,2026-07-26T19:35:29Z,agent/open-source-upload-evidence-20260727,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89833274473,verify,3,驗證 LKMini 公開種子,2026-07-26T19:35:20Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217165320,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217165320/job/89833274473,AVAILABLE|LOCAL_GIT_TREE_REPLAY
236,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30217165318,96,1,push,2026-07-26T19:35:20Z,2026-07-26T19:35:46Z,agent/open-source-upload-evidence-20260727,dee4acc3f603de45a8c05856f488c3eb6c2e8410,ky46738-ops,89833274412,build-linux,5,Install dependencies,2026-07-26T19:35:42.9363668Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217165318,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217165318/job/89833274412,AVAILABLE
237,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30217262073,97,1,push,2026-07-26T19:38:04Z,2026-07-26T19:39:14Z,agent/open-source-upload-evidence-20260727,1c796e0d05baf1baab4131bade1036b1274fd5bb,ky46738-ops,89833522040,build-linux,5,Install dependencies,2026-07-26T19:39:12.2288621Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217262073,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217262073/job/89833522040,AVAILABLE
238,VERIFIED_TRUE,RC-01B_VERIFIER_IDENTITY_DRIFT,Gatekeeper,30217262056,113,1,push,2026-07-26T19:38:04Z,2026-07-26T19:38:11Z,agent/open-source-upload-evidence-20260727,1c796e0d05baf1baab4131bade1036b1274fd5bb,ky46738-ops,89833522016,verify,3,驗證 LKMini 公開種子,2026-07-26T19:38:04Z,SHA256_MISMATCH:tools/verify_lkmini.py:expected=2e417e95e1b85d290cd432f054bdf9e25c30f4267d5e20bbb131900684dbc2a7:actual=01fd76f96cc99c2bed586512efbf151ffa5be7668da6ac2b2c59670ca28ee13a,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217262056,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217262056/job/89833522016,AVAILABLE|LOCAL_GIT_TREE_REPLAY
239,VERIFIED_TRUE,RC-02_MISSING_ENVIRONMENT_YML,Python Package using Conda,30217270071,98,1,push,2026-07-26T19:38:18Z,2026-07-26T19:38:53Z,agent/open-source-upload-evidence-20260727,4501515dc05843b10d63958bc16587aed51160fc,ky46738-ops,89833543027,build-linux,5,Install dependencies,2026-07-26T19:38:50.1496176Z,EnvironmentFileNotFound: '/home/runner/work/welcome/welcome/environment.yml' file not found,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217270071,https://github.com/lkminiPhantomWorld/welcome/actions/runs/30217270071/job/89833543027,AVAILABLE
